CustomerID,Cluster_X,Cluster_Y,Annual_Spending,Purchase_Frequency,Age,Income_Level,City,Gender
CUST000001,-3.8825696961620277,-0.2412947278979977,4988.8458898129875,14.384859339415232,34.718330915504474,43543.481995684924,Hà Nội,F
CUST000002,1.8502047797010466,-3.76432523695765,9245.071229516849,20.002791070820358,57.71871182544547,97120.54284103107,TP.HCM,M
CUST000003,1.7248215115021546,3.464818800533051,1924.0083734224486,11.430194321448658,30.974593438093063,28970.338841106033,Hà Nội,F
CUST000004,1.9493424626539095,3.5993687421517646,1760.7497541271478,8.450406961868609,31.866330721229094,41742.19224079222,Cần Thơ,M
CUST000005,-4.1968014351583385,-0.607742361933413,6884.597800331469,14.426307134164283,34.678140490557176,51801.13258085218,Đà Nẵng,M
CUST000006,2.4043712507744535,-3.3875337331682123,8292.603548243223,21.98090031508713,49.592569767152014,72279.01602954237,Cần Thơ,F
CUST000007,1.8396754169968434,3.409894658087815,1497.1951901025907,10.137445293301413,23.929031617076667,30690.189757228472,Hải Phòng,F
CUST000008,1.9801849908879199,3.889495904127189,2328.0361295368393,11.094141575831992,26.167003221678083,34219.24887876469,Hải Phòng,F
CUST000009,2.219035557247457,-3.7557970721630793,9471.53280715104,27.36248010601821,56.196757161166346,78643.60476965945,Hải Phòng,M
CUST000010,2.1192188761076864,3.3730931340774024,2808.599974545356,9.1645573869642,24.415713633729144,21532.942935657396,Đà Nẵng,F
CUST000011,2.2119317956560893,3.9501133293564696,3062.127998799445,5.089186022275284,28.66250828167672,22093.054110360485,Cần Thơ,F
CUST000012,0.8847176211764749,-3.154807403018963,10784.544784612037,26.186934272805516,34.26297801211908,78198.78837424218,Hải Phòng,M
CUST000013,-4.016015428994246,0.2813746612531965,5503.313312814901,14.86937638503876,35.85477250348298,49097.4465422264,Cần Thơ,F
CUST000014,2.236987660197348,3.706994298940511,2692.701405760326,3.9414023331078836,35.18307118877148,35061.38554657205,TP.HCM,M
CUST000015,-4.447146604752507,0.10908956478749036,5765.52292141854,15.257179514350327,33.10942079147625,45359.8962965143,Hải Phòng,M
CUST000016,2.918628786294872,-3.3085098247426243,8148.769937914996,23.044271603321224,34.07340675667649,58065.35241054978,Hải Phòng,F
CUST000017,-3.734194755432767,0.28425793863685733,4307.998729738581,18.78744584658472,18.134297569185645,76965.62169998529,Đà Nẵng,M
CUST000018,1.7970177455665433,-3.106031764860978,8148.794564576229,22.53270235274125,43.80824552186162,80048.64712447845,Cần Thơ,M
CUST000019,1.820742239187054,3.7687354736487086,1967.4452280851624,8.446341904421915,23.373747057152773,24398.742758417902,Đà Nẵng,M
CUST000020,-3.980637931856861,-0.22628275500580736,3899.7957754143717,12.011130766053025,27.316765063033717,81063.9185139315,Đà Nẵng,M
CUST000021,1.9270100184504548,3.7484038311741807,2795.2131502601337,7.486231085525197,34.00492298661048,51840.69311467602,Cần Thơ,F
CUST000022,1.4493363843693028,-3.6189761839839334,10868.819223261087,22.432967403824712,49.02227541516155,95992.43622732618,TP.HCM,F
CUST000023,1.8779503829457245,3.5791821747375523,2599.4285558806805,8.262174286760365,23.309967565918676,18507.815103102002,Cần Thơ,M
CUST000024,-4.153944080574064,-0.6905763494206755,3719.1950484210065,11.61461203394936,37.44774841111698,50755.539492933014,TP.HCM,F
CUST000025,-4.4282521392887695,0.492801885976789,4011.726275303312,19.946478968571903,32.50878996511281,56100.62739698039,Đà Nẵng,M
CUST000026,1.6794483356817735,-3.3521841974364026,9651.152093729363,20.31035926200599,59.37088658341571,65886.51821384807,TP.HCM,F
CUST000027,-3.794220465666501,-0.055470640932896706,2447.217566829475,13.149421032474807,33.441909178180936,52745.886159234506,TP.HCM,F
CUST000028,1.3781206888303212,-3.952527493309205,7795.788421097572,30.461502757877767,50.648631310521054,100727.23976575889,TP.HCM,M
CUST000029,2.387746968704019,3.4440937264486,3248.844934348813,7.9518378822542415,22.914236725018696,28598.597610687168,Hải Phòng,M
CUST000030,2.603371813964206,3.260741400649824,3121.549362345213,15.7507209804997,32.91156771005928,35133.6069381404,Hải Phòng,M
CUST000031,1.7655128709605417,3.2365971214301696,2524.381131136503,4.009321233075986,33.5316182680457,32078.936497633724,Đà Nẵng,M
CUST000032,2.433343918442809,3.1038126400078814,1782.1975950709946,2.030161190536626,33.10845962057593,26166.836346688648,Cần Thơ,F
CUST000033,2.4123353685522546,3.8096180359623864,1977.6398753343353,8.997130500558828,20.105215550691153,27336.577284037856,TP.HCM,M
CUST000034,2.066250785826484,-3.433952882677536,9313.840065378947,22.710718123154642,43.058549785503736,92316.62231626507,Hải Phòng,F
CUST000035,2.3154447470006856,3.401327056168132,2060.1685122895733,6.870732336235414,25.204294131567696,27074.76738000609,Cần Thơ,F
CUST000036,-3.7112690738864096,0.04210796095441409,3775.080657108398,9.947858585691735,31.766463305612845,68289.99088141788,TP.HCM,M
CUST000037,2.1434308137583957,-3.1255883846053356,7804.873460781307,28.868634083301984,36.78904633867286,73986.50017043443,Cần Thơ,F
CUST000038,1.6903681647484248,2.674133545011515,2247.7869328669954,8.948203609189854,32.937931552019926,32706.226441439496,Hà Nội,M
CUST000039,1.5626153410569865,3.28500980967189,2714.4403420718027,9.751649066852004,28.249251043383367,50615.43271613939,TP.HCM,M
CUST000040,1.5653178060462054,-3.9735958238589406,7801.405369644614,30.085264207689804,54.8400045817532,82877.05543993229,Cần Thơ,F
CUST000041,-4.015398542085448,-0.22661487970599675,3939.646843940157,13.05948023160052,26.36401607268182,70667.74674208056,TP.HCM,M
CUST000042,2.0595863461969355,3.7535044677062257,3072.1395121024466,11.852314085536692,21.557842922815215,35623.49837246568,TP.HCM,M
CUST000043,-3.900733647672989,0.4885189869385614,4324.641825605159,13.679789059023996,30.06900539023706,33672.83441572424,Hà Nội,M
CUST000044,-4.1061230561450435,-0.09033110867678663,4631.750109747291,21.21985091090306,31.931682556114055,60712.129600787506,Cần Thơ,F
CUST000045,1.7968732447583369,3.2408380936173047,2459.105045587698,3.478322538848185,30.74990763475265,44463.203915100195,Đà Nẵng,F
